FP_ID,flag,classification,acres,n_cells,slope_mean,slope_p90,slope_max,frac_over_30
2942125,N,III,15.0,632,1.0027515888214111,1.9352524280548096,3.734506845474243,0.0
2942163,N,III,29.5,1885,1.6365708112716675,2.6968493461608887,4.927839756011963,0.0
2942214,Y,III,37.5,2970,10.487215042114258,19.54448127746582,34.79444122314453,0.012794612794612794
2942214,Y,III,2.7,5713,17.531484603881836,32.325130462646484,45.12091064453125,0.1358305618764222
2942195,Y,III,157.9,10193,11.294851303100586,19.76490592956543,37.315914154052734,0.003139409398606887
2942195,Y,III,2.7,194,11.74991226196289,17.974611282348633,37.13131332397461,0.02577319587628866
2942238,N,II,2.5,81,2.371890068054199,3.396315097808838,4.0297698974609375,0.0
2942238,N,II,2.5,161,4.027599334716797,6.138538837432861,8.001154899597168,0.0
2942175,Y,III,54.5,4230,10.339775085449219,18.912734985351562,39.76454544067383,0.01182033096926714
2942247,Y,III,81.0,4768,8.854222297668457,16.36467170715332,28.590770721435547,0.0
2942211,Y,III,39.5,2481,28.502286911010742,36.96083068847656,46.28293228149414,0.46956872228939944
2942259,N,III,9.6,613,10.254487991333008,17.636083602905273,24.0135440826416,0.0
2942177,N,III,3.0,200,1.078791856765747,1.458855390548706,1.889657974243164,0.0
2942237,N,III,80.0,4463,16.46084213256836,27.835342407226562,37.245880126953125,0.06094555231906789
2942232,N,III,60.0,4086,5.339016437530518,11.717687606811523,40.66791915893555,0.011747430249632892
2942189,N,III,19.0,964,15.312941551208496,26.04486846923828,44.07250213623047,0.06639004149377593
2942241,N,III,12.1,720,9.875547409057617,25.099903106689453,34.91357421875,0.029166666666666667
2942248,Y,III,127.0,7740,20.841327667236328,30.172975540161133,44.56344223022461,0.10400516795865633
2942286,N,III,15.0,865,9.654952049255371,12.371270179748535,17.588354110717773,0.0
2942286,N,III,20.0,1009,12.22215461730957,18.18438720703125,24.802566528320312,0.0
2942286,N,III,15.0,481,9.08164119720459,14.270082473754883,17.960786819458008,0.0
2942285,Y,III,55.5,3584,33.07661819458008,41.7840690612793,54.197105407714844,0.7307477678571429
2942287,Y,III,5.0,352,21.322490692138672,27.554370880126953,33.38859558105469,0.048295454545454544
2942287,Y,III,4.0,304,14.905418395996094,20.551542282104492,27.74021339416504,0.0
2942287,Y,III,97.0,5806,11.211339950561523,18.82967185974121,42.872344970703125,0.011884257664485016
2942287,Y,III,21.0,1394,15.232878684997559,22.06121253967285,32.048789978027344,0.0007173601147776184
2942287,Y,III,94.0,5650,15.202309608459473,24.802631378173828,34.90694808959961,0.021238938053097345
2942287,Y,III,13.0,873,15.041669845581055,22.9925537109375,34.038963317871094,0.008018327605956471
2942310,Y,III,93.3,5756,19.337255477905273,29.987201690673828,42.8296012878418,0.09954829742876999
2942308,Y,III,61.300000000000004,668,31.005624771118164,39.28511047363281,44.86459732055664,0.6631736526946108
2942292,Y,III,1.3,95,24.472118377685547,33.20109176635742,42.37062454223633,0.24210526315789474
2942292,Y,III,28.8,387,20.078460693359375,28.205951690673828,34.690956115722656,0.056847545219638244
2942288,Y,III,75.0,4586,20.324766159057617,28.59499168395996,41.1890869140625,0.0651984300043611
2942294,Y,III,90.0,5798,14.166078567504883,24.160676956176758,39.95368957519531,0.028285615729561918
2942290,N,III,64.2,4117,9.742104530334473,16.897493362426758,30.704334259033203,0.0014573718727228565
2942313,Y,III,4.0,114,3.780846118927002,4.884047985076904,6.090723037719727,0.0
2942313,Y,III,59.800000000000004,3814,8.055237770080566,15.915019035339355,28.980670928955078,0.0
2942271,N,III,22.0,1369,15.06966495513916,20.589799880981445,27.287675857543945,0.0
2942335,Y,III,1.7,126,16.21293830871582,23.70916748046875,28.650135040283203,0.0
2942335,Y,III,2.7,190,15.822957038879395,26.596616744995117,31.2858829498291,0.021052631578947368
2942335,Y,III,76.3,4605,13.618348121643066,25.870981216430664,37.84581756591797,0.03713355048859935
2942306,N,IVG,28.0,1858,6.970624923706055,21.068899154663086,28.692825317382812,0.0
2942291,Y,III,68.2,4362,17.48763084411621,27.214176177978516,40.7662239074707,0.05318661164603393
2942337,N,III,43.0,2246,3.557985782623291,6.109374046325684,8.924248695373535,0.0
2942296,N,III,10.0,573,20.496349334716797,30.211849212646484,37.19929122924805,0.10471204188481675
2942317,N,III,37.800000000000004,2593,13.667500495910645,21.318248748779297,35.33146667480469,0.010026995757809487
2942268,Y,III,66.6,3985,10.830830574035645,17.951940536499023,37.109092712402344,0.005018820577164366
