FP_ID,flag,acres,slope_mean,slope_p90,slope_max,frac_over_30
2943890,Y,59.0,17.61663055419922,29.4502010345459,43.174922943115234,0.08646129950815429
2943891,Y,29.5,14.993600845336914,23.39975929260254,40.053077697753906,0.055615550755939526
2943909,N,15.0,10.195698738098145,18.472610473632812,26.154264450073242,0.0
2943910,Y,120.0,15.337133407592773,27.374042510986328,45.0484619140625,0.0723128868880135
2943914,N,20.0,2.7345752716064453,4.10335636138916,5.800491809844971,0.0
2943917,N,20.1,2.704578161239624,7.4605183601379395,10.189496040344238,0.0
2943918,N,6.0,2.036219358444214,3.061448335647583,4.746842384338379,0.0
2943920,N,2.0,16.15998077392578,31.24179458618164,37.15644454956055,0.13725490196078433
2943921,N,6.0,3.6560704708099365,5.916599750518799,10.307149887084961,0.0
2943929,N,35.0,4.012028694152832,9.801711082458496,34.633522033691406,0.004461795872838818
2943930,N,15.0,1.7716505527496338,2.760265827178955,3.8100388050079346,0.0
2943933,Y,89.0,11.955020904541016,24.319055557250977,35.962852478027344,0.03571428571428571
2943937,Y,199.39999999999998,8.39890710512797,27.873958587646484,40.755306243896484,0.06466019417475728
2943940,Y,44.0,18.01637840270996,31.219160079956055,38.25446319580078,0.14046822742474915
2943941,Y,141.0,14.669138272603353,26.629926681518555,41.283512115478516,0.034079084287200835
2943942,N,9.8,1.3399262428283691,2.581714391708374,4.909871578216553,0.0
2943943,N,4.9,1.1641124486923218,1.901821255683899,3.8024532794952393,0.0
2943951,N,30.0,2.5273220539093018,4.8897223472595215,10.71474552154541,0.0
2943952,Y,25.2,26.315387725830078,37.78836441040039,41.9599723815918,0.3776595744680851
2943954,N,3.0,11.91656494140625,16.490324020385742,21.072885513305664,0.0
2943955,N,13.200000000000001,5.96171247959137,15.137799263000488,26.408649444580078,0.0
2943957,N,36.0,13.01513957977295,17.974123001098633,28.784381866455078,0.0
2943960,Y,23.7,25.283557891845703,35.016048431396484,42.123779296875,0.3344262295081967
2943962,Y,99.7,17.38064193725586,27.080856323242188,38.18777084350586,0.04103221670139445
2943964,Y,69.60000000000001,25.903276443481445,38.15550231933594,48.27497482299805,0.4034425842961566
2943967,Y,97.0,16.371906280517578,25.532073974609375,38.40666198730469,0.022727272727272728
2943975,Y,74.0,20.97154426574707,29.466196060180664,46.47758483886719,0.08791946308724832
2943976,Y,130.0,11.753105163574219,21.344934463500977,38.79279708862305,0.00758382118147951
2943977,N,96.0,15.017330169677734,26.59925651550293,41.277801513671875,0.04035330793210946
2943978,N,43.5,8.05576229095459,13.93238353729248,28.426515579223633,0.0
2943982,Y,90.4,11.157167434692383,20.51741600036621,42.7889404296875,0.014421445537835087
2943987,Y,77.8,18.08846092224121,31.148761749267578,52.24867248535156,0.11995776135163674
2943988,N,10.0,18.83747673034668,26.7626953125,40.864723205566406,0.04786324786324787
2943989,N,18.0,5.605428218841553,9.676127433776855,16.079256057739258,0.0
2943990,N,46.0,2.85870099067688,5.069001197814941,26.83758544921875,0.0
2943993,Y,90.0,11.7189359664917,26.990345001220703,41.07200622558594,0.06593968308059295
2943994,N,101.0,7.4204747676849365,19.777698516845703,45.73246383666992,0.045576407506702415
2943995,N,66.5,6.193466067314148,27.651338577270508,36.876686096191406,0.060503251342946
2944003,Y,118.4,15.621792793273926,26.208114624023438,42.9942626953125,0.04091233071988596
2944009,Y,62.5,24.421621322631836,36.10688400268555,49.40610885620117,0.38105606967882416
2944016,Y,112.0,17.16281509399414,26.948122024536133,44.902164459228516,0.06442098727103385
2944017,Y,48.0,24.271318435668945,35.9581184387207,51.67090606689453,0.28158347676419965
2944025,N,130.0,11.88288402557373,25.167091369628906,41.10369873046875,0.038762777114031595
2944028,Y,86.0,24.82368278503418,35.32358169555664,46.304344177246094,0.2881009205591544
2944032,Y,162.0,12.176575660705566,20.422258377075195,32.64655303955078,0.0016842105263157896
2944033,Y,1039.9,15.488256791058708,35.04670333862305,45.80520248413086,0.1865129105038857
2944034,Y,21.0,3.962243914604187,12.62981128692627,28.265247344970703,0.0
2944036,Y,93.9,31.479751586914062,39.60088348388672,53.6129264831543,0.6247026843357119
2944037,Y,47.0,8.687233924865723,12.41502571105957,21.56644630432129,0.0
2944038,Y,93.2,28.15835952758789,39.111656188964844,57.16755676269531,0.46093349290477004
2944039,Y,107.8,11.373141288757324,19.645673751831055,38.05458450317383,0.0036275695284159614
2944041,N,59.7,8.186203002929688,17.49581527709961,44.247596740722656,0.010638297872340425
2944045,Y,127.0,12.254079818725586,22.908275604248047,36.908748626708984,0.024820143884892086
2944047,Y,16.0,12.168708801269531,19.212568283081055,34.077552795410156,0.003827751196172249
2944049,Y,66.0,19.46109390258789,31.938013076782227,53.00644302368164,0.14571948998178508
2944051,N,20.700000000000003,6.828059911727905,20.394514083862305,28.239166259765625,0.0
2944052,N,1.5,1.2744709253311157,2.036437511444092,3.8886160850524902,0.0
2944056,Y,24.400000000000002,12.70297622680664,19.420053482055664,25.0396785736084,0.0
2944061,Y,68.2,19.704288482666016,30.192787170410156,40.550350189208984,0.1092964824120603
2944073,N,2.5,9.97358751296997,18.421796798706055,20.897817611694336,0.0
2944075,Y,93.6,13.507266998291016,25.35629653930664,47.488807678222656,0.04680290046143705
2944076,N,452.0,24.019325256347656,39.9070930480957,54.18191146850586,0.4113358215432688
2944087,Y,64.1,25.5881404876709,37.386138916015625,52.9805793762207,0.2977867203219316
2944091,Y,79.5,16.96575927734375,26.79041290283203,45.070987701416016,0.051371571072319204
2944095,Y,70.0,18.705156326293945,33.33647918701172,46.8829231262207,0.1921760391198044
2944099,Y,84.3,15.011085510253906,26.060894012451172,43.26832580566406,0.04466209598432909
2944100,Y,40.0,27.484174728393555,38.3832893371582,48.448184967041016,0.42936802973977695
2944110,N,1.7,11.156414031982422,26.948339462280273,38.9304084777832,0.07741935483870968
2944125,N,21.0,8.806351661682129,17.053171157836914,25.705543518066406,0.0
2944133,N,31.0,2.1689507961273193,3.3257784843444824,8.903504371643066,0.0
2944144,Y,66.7,11.22529125213623,19.225614547729492,38.45208740234375,0.012395648874272705
2944146,Y,145.1,15.638559341430664,26.796289443969727,43.026912689208984,0.04810038340885326
2944150,Y,90.5,18.98813247680664,31.30845069885254,47.74187088012695,0.13325888702773125
2944151,Y,20.3,10.872224807739258,19.459314346313477,35.512451171875,0.01122754491017964
2944152,N,5.0,8.82991647720337,15.612346649169922,16.6129207611084,0.0
2944153,N,131.0,5.025597035884857,25.777339935302734,32.97630310058594,0.011940298507462687
2944156,N,70.0,21.44244384765625,32.62674331665039,49.44153594970703,0.169775826932121
2944158,N,5.0,1.9620572328567505,2.773747682571411,3.7271230220794678,0.0
2944163,Y,79.8,15.223057746887207,25.80233383178711,42.035099029541016,0.043264503441494594
2944164,N,10.0,10.109140396118164,15.82266616821289,21.221601486206055,0.0
2944165,N,8.0,4.492605686187744,7.564518451690674,9.871662139892578,0.0
2944166,Y,25.6,10.374009132385254,17.046653747558594,29.617555618286133,0.0
2944167,N,1.5,2.7915878295898438,4.010990619659424,10.113364219665527,0.0
2944168,N,28.0,1.277594804763794,2.6155288219451904,4.030148506164551,0.0
2944169,N,20.0,6.916372776031494,9.521495819091797,14.491354942321777,0.0
2944170,Y,160.0,9.139259576797485,19.550521850585938,36.27152633666992,0.003925845147219193
2944171,Y,125.0,16.941734313964844,26.787334442138672,41.12091827392578,0.04630788485607009
2944177,N,1.5,9.452277183532715,12.536264419555664,26.136863708496094,0.0
2944182,N,9.0,11.261405944824219,20.765792846679688,32.655094146728516,0.014466546112115732
2944183,Y,29.400000000000002,13.8126859664917,24.71613311767578,38.213157653808594,0.034318901795142555
2944184,Y,36.7,10.696098327636719,18.756187438964844,31.254674911499023,0.0009823182711198428
2944186,Y,51.5,9.898459434509277,16.26597785949707,30.22171974182129,0.0003125
2944187,N,37.7,17.971355438232422,27.819721221923828,38.73806381225586,0.05965665236051502
2944191,N,52.7,10.25986099243164,20.407947540283203,36.44552230834961,0.012104283054003724
2944192,Y,62.0,9.046138763427734,13.999295234680176,36.89826965332031,0.009913905557004957
2944196,Y,203.6,25.032334327697754,48.583335876464844,69.37556457519531,0.7195652173913043
2944199,N,14.0,11.648807525634766,23.290206909179688,28.773134231567383,0.0
2944200,N,25.7,12.277387142181396,20.83439064025879,28.17777442932129,0.0
2944202,N,30.0,9.865952491760254,23.431764602661133,37.70891571044922,0.027089337175792507
2944207,N,2.5,0.5250450968742371,0.7477114200592041,0.8569810390472412,0.0
2944208,N,3.0,1.1733548641204834,2.057079315185547,4.738620758056641,0.0
2944210,N,18.0,10.351329684257507,22.561948776245117,28.386558532714844,0.0
2944212,Y,79.9,25.83734703063965,37.53912353515625,49.35567092895508,0.37272036474164133
2944217,N,57.0,8.42674994468689,16.151681900024414,33.19498825073242,0.006622516556291391
2944218,N,7.0,8.654975891113281,16.425039291381836,25.413114547729492,0.0
2944224,N,43.0,8.632196267445883,18.31922149658203,25.60161590576172,0.0
2944232,N,39.300000000000004,4.356301784515381,8.372664451599121,33.802734375,0.0013404825737265416
2944236,N,10.0,14.955876350402832,25.4904727935791,30.031431198120117,0.0025252525252525255
2944239,N,7.3,10.641749302546183,22.91775131225586,26.103160858154297,0.0
2944254,Y,63.4,10.29625415802002,17.729780197143555,36.47331619262695,0.009479887266205482
2944259,N,3.0,13.517862319946289,26.771013259887695,30.6380558013916,0.024390243902439025
2944261,Y,68.5,14.852972984313965,27.11631202697754,45.198848724365234,0.05131729667812142
2944264,N,9.6,2.8025906085968018,6.7184906005859375,23.938751220703125,0.0
2944266,Y,249.0,16.726176102956135,38.2482795715332,52.05122756958008,0.35517241379310344
2944268,Y,115.5,18.537110805511475,29.99038314819336,40.80275344848633,0.10077519379844961
2944275,N,2.0,2.9249918460845947,3.894970655441284,5.0251617431640625,0.0
2944277,N,122.0,8.093755722045898,14.007115364074707,33.527339935302734,0.003110859728506787
2944279,Y,90.2,19.16075897216797,28.533714294433594,41.938751220703125,0.07489067055393586
2944281,Y,136.4,11.617073059082031,19.799840927124023,36.787235260009766,0.007038123167155425
2944285,Y,122.0,23.73896026611328,35.80647659301758,50.6037712097168,0.3361382419233659
2944287,N,122.0,9.75927766164144,23.53268814086914,33.62188720703125,0.006284658040665434
2944289,N,7.8,1.0013439655303955,1.9962003231048584,4.479203701019287,0.0
2944292,Y,46.0,11.61038875579834,18.39429473876953,33.69704055786133,0.005614266842800529
2944294,Y,48.300000000000004,13.4561185836792,23.674922943115234,34.73368453979492,0.02279686968356584
2944296,N,12.0,10.952608585357666,23.03084945678711,30.755430221557617,0.012096774193548387
2944297,N,13.0,16.888065338134766,26.95644760131836,38.81410217285156,0.06257521058965103
2944304,N,87.0,12.86682415008545,24.124025344848633,38.778751373291016,0.034489593657086225
2944308,N,48.0,13.605794588724772,23.011974334716797,40.8791389465332,0.03663003663003663
2944311,N,158.0,7.580626010894775,14.632481575012207,24.262893676757812,0.0
2944315,Y,104.5,11.178817749023438,19.63689613342285,34.41419982910156,0.004806248122559327
2944317,Y,41.0,12.387800216674805,19.091875076293945,30.587358474731445,0.0007259528130671506
2944333,N,42.0,9.953814506530762,17.654651641845703,30.591520309448242,0.0008499787505312367
2944335,N,20.0,3.003630042076111,8.06779956817627,12.716412544250488,0.0
2944336,N,3.6,3.1355819702148438,5.682186126708984,8.447591781616211,0.0
2944339,N,255.0,9.266787886619568,25.955434799194336,39.716468811035156,0.048717284270536405
2944346,Y,206.9,12.303871154785156,21.81924819946289,53.1221923828125,0.028346577017114915
2944351,N,5.0,6.9274725914001465,8.84817886352539,9.854503631591797,0.0
2944354,N,46.0,8.672133286794027,16.85044288635254,27.444814682006836,0.0
2944356,N,126.60000000000001,8.611555099487305,25.92411994934082,33.22673797607422,0.01921397379912664
2944357,Y,81.1,11.777831077575684,22.23461151123047,35.29854202270508,0.01622596153846154
2944358,Y,60.7,14.875000953674316,27.82329559326172,37.53464126586914,0.06390532544378698
2944360,Y,78.0,18.888561010360718,32.64067459106445,45.08610534667969,0.20652173913043478
2944361,N,2.5,16.381664276123047,29.97642707824707,32.785118103027344,0.11320754716981132
2944363,N,66.0,1.2612601518630981,2.0007259845733643,3.6428775787353516,0.0
2944364,Y,32.0,15.111037254333496,24.56896209716797,34.323429107666016,0.02298136645962733
2944365,Y,4.5,2.40195369720459,4.9569244384765625,10.112191200256348,0.0
2944370,N,60.0,12.189125537872314,20.070898056030273,30.57965850830078,0.0010649627263045794
2944371,N,71.0,8.287210464477539,20.524700164794922,34.64613342285156,0.006180469715698393
2944373,Y,54.300000000000004,11.36235237121582,25.858606338500977,41.47285079956055,0.05308464849354376
2944374,N,39.0,4.642780780792236,6.163991928100586,12.963041305541992,0.0
2944375,N,7.0,2.24764347076416,3.2682769298553467,5.272069454193115,0.0
2944381,N,5.0,4.446357727050781,6.807537078857422,16.590129852294922,0.0
