stand_x,stand_y,n_stems,mean_h,max_h,mean_cai,dom_h,forest_frac,flat_frac,forest_ha,stems_per_ha,age_est,mai,cai,cai_pct,slowness,maturity_pct,priority,ready
364500,6686100,70,21.851857130868094,34.43000030517578,0.40802381078136113,21.851857130868094,0.9258,0.0115,0.9258,75.6102829984878,82.43114157075362,0.26509225414659404,0.40802381078136113,0.6219512195121951,0.3780487804878049,0.5365853658536586,0.4493902439024391,False
364700,6685700,51,22.494117568520938,30.719999313354492,0.44178103855232786,22.494117568520938,0.8007,0.1314,0.8007,63.69426751592357,88.36160751628705,0.25456890385764835,0.44178103855232786,0.7073170731707317,0.29268292682926833,0.6341463414634146,0.4463414634146342,False
364100,6685900,102,17.93411767249014,24.260000228881836,0.2789052339161144,18.06950002670288,0.9725,0.0126,0.9725,104.88431876606684,57.614216739904485,0.3136291882310303,0.2789052339161144,0.32926829268292684,0.6707317073170731,0.17073170731707318,0.4457317073170732,True
364400,6686100,69,22.55898544753807,34.099998474121094,0.4512681131777556,22.55898544753807,0.9691,0.0013,0.9691,71.20008255082035,89.00575659364138,0.2534553528996089,0.4512681131777556,0.7317073170731707,0.2682926829268293,0.6585365853658537,0.4439024390243903,False
364700,6685800,51,19.128431394988414,28.739999771118164,0.31308824196457863,19.128431394988414,0.6727,0.1717,0.6727,75.8138843466627,63.35621161993969,0.3019188001602079,0.31308824196457863,0.4268292682926829,0.5731707317073171,0.2804878048780488,0.4414634146341464,False
364500,6685800,91,22.245714344821135,31.399999618530273,0.44163920132668466,22.245714344821135,0.9868,0.0035,0.9868,92.2172679367653,85.97582602046715,0.25874382805610247,0.44163920132668466,0.6951219512195121,0.30487804878048785,0.5853658536585366,0.4310975609756098,False
364600,6685800,65,23.02000004695012,29.799999237060547,0.4866538463494716,23.02000004695012,0.9559,0.0101,0.9559,67.99874463856052,93.8674362818401,0.24523946704831487,0.4866538463494716,0.8170731707317073,0.18292682926829273,0.7317073170731707,0.42987804878048785,False
364000,6685600,96,18.84624992807706,26.139999389648438,0.2926301947898335,18.84624992807706,0.9315,0.0304,0.9315,103.05958132045089,61.75803903066443,0.3051626998506125,0.2926301947898335,0.4024390243902439,0.5975609756097561,0.2073170731707317,0.42195121951219516,True
364200,6685500,77,17.946623461587087,25.760000228881836,0.28178572190272344,17.946623461587087,0.7399,0.2274,0.7399,104.06811731315042,56.9899079008182,0.3149087991652892,0.28178572190272344,0.35365853658536583,0.6463414634146342,0.14634146341463414,0.4213414634146342,True
364300,6686000,84,22.16857133592878,30.3799991607666,0.4428968183578007,22.16857133592878,0.9419,0.0057,0.9419,89.1814417666419,85.25958655655172,0.2600126534888205,0.4428968183578007,0.7195121951219512,0.2804878048780488,0.573170731707317,0.41219512195121955,False
364700,6685500,66,24.45030301989931,28.989999771118164,0.5426010074037494,24.45030301989931,0.9997,0.0,0.9997,66.01980594178254,113.51949933251967,0.2153841689195601,0.5426010074037494,0.9146341463414634,0.08536585365853655,0.8048780487804879,0.40914634146341466,False
364600,6685700,72,24.56319440735711,28.110000610351562,0.5679745371625932,24.56319440735711,0.9882,0.0011,0.9882,72.85974499089254,115.51092826922584,0.21264822969915634,0.5679745371625932,0.9512195121951219,0.04878048780487809,0.8292682926829268,0.4,False
